,fullName,position,origin,destination
817,Mordecai McDaniel,S,Charlotte,Oklahoma State
821,Mickel Clay,OT,North Alabama,West Virginia
823,Khamari Anderson,TE,Kentucky,Arizona State
825,NaQuari Rogers,RB,New Mexico,Utah
827,Justin Bowick,WR,Ball State,Illinois
829,Bear Alexander,DL,USC,Oregon
833,Malachi Carney,OT,South Alabama,Georgia Tech
834,Immanuel Hickman Sr.,EDGE,South Florida,Virginia Tech
836,Brandon Smiley,DL,Elon,Wake Forest
837,Seth McGowan,RB,New Mexico State,Kentucky
843,Noah Thomas,WR,Texas A&M,Georgia
844,Vontroy Malone,EDGE,Tulsa,Iowa State
848,Alec Marenco,LB,Kansas State,Wake Forest
850,Kody Huisman,DL,North Dakota State,Virginia Tech
851,Ethan Moczulski,K,Illinois,Washington
852,Ryder Langsdale,OT,Lafayette,Rutgers
855,Jaiden Francois,CB,Utah State,Duke
858,JoJo Evans,S,Florida International,Louisville
859,Max Klare,TE,Purdue,Ohio State
861,Henry Boyer,TE,Illinois,Kentucky
862,Michael Kern,P,Texas,California
866,Nate Johnson,ATH,Vanderbilt,Utah
868,Caleb Brown,CB,Hawai'i,Virginia Tech
875,Gavin Frakes,QB,Virginia,Northwestern
876,Terry Nwabuisi-Ezeala,DL,North Carolina,Vanderbilt
878,Mikey Keene,QB,Fresno State,Michigan
883,Christian Hamilton,WR,North Carolina,West Virginia
887,Jaylen Henderson,QB,Texas A&M,West Virginia
892,Johnny Williams IV,OT,West Virginia,Missouri
896,Jayden Hobson,OT,South Alabama,Alabama
902,Troy Stellato,WR,Clemson,Kentucky
904,Kechaun Bennett,DL,Michigan,UCLA
905,Logan Loya,WR,UCLA,Minnesota
906,Justin Okoronkwo,LB,Alabama,South Carolina
910,Tyler Van Dyke,QB,Wisconsin,SMU
914,Josh Raymond,OT,Vanderbilt,Florida State
916,Bernard Gooden,DL,South Florida,LSU
919,Ja'Elyne Matthews,OT,Rutgers,Florida State
921,Dane Key,WR,Kentucky,Nebraska
922,Ashton Cozart,WR,SMU,Kentucky
928,AJ Green,RB,Oklahoma State,Arkansas
935,Tobias Merriweather,WR,California,Utah
939,Aki Ogunbiyi,OT,Texas A&M,Colorado
945,Dacari Collins,WR,NC State,Louisville
949,Terrance Love,S,Auburn,Colorado
950,Josh Thompson,IOL,Northwestern,LSU
972,Peter Knudson,TE,Weber State,Alabama
974,Ben Bogle,LB,Southern Illinois,West Virginia
978,Kendall Stanley,OT,Charlotte,Pittsburgh
981,Austin Barrett,OT,Indiana,Iowa State
982,Zaquan Patterson,S,Miami,Oklahoma State
988,Chris Marable Jr.,DL,Wake Forest,Boston College
990,Makilan Thomas,IOL,Arkansas State,Virginia
1000,DJ Warner,EDGE,Kansas,SMU
1001,Walter Young Bear,IOL,Tulsa,West Virginia
1003,Josh McCray,RB,Illinois,Georgia
1005,Lucas Osada,K,North Carolina,Illinois
1023,Trevor Mayberry,IOL,Stanford,Mississippi State
1030,Curt Neal,DL,Wisconsin,Illinois
1031,Ryan Browne,QB,North Carolina,Purdue
1039,Tyler Kirkwood,WR,Southern,Baylor
1046,A.J. Haulcy,S,Houston,LSU
1052,James Thompson Jr.,DL,Wisconsin,Illinois
1053,Zelmar Vedder,CB,Sacramento State,Houston
1054,Matthew Caldwell,QB,Troy,Texas
1055,Jaylin Jones,EDGE,UTEP,Baylor
1057,Gavin Crawford,IOL,West Virginia,Virginia Tech
1058,Teon Parks,CB,Illinois State,Colorado
1060,Madden Iamaleava,QB,Arkansas,UCLA
1061,Derek Jensen,OT,Wisconsin,Iowa State
1063,Anthony Pinnace III,CB,UTSA,Michigan State
1068,Lance Holtzclaw,EDGE,Washington,Utah
1073,Raishein Thomas,EDGE,Northern Illinois,Mississippi State
1077,Joey Aguilar,QB,UCLA,Tennessee
1079,Gabe Ervin Jr.,RB,Nebraska,Kansas State
1080,Owen Spell,OT,Limestone,UCF
