,season,firstName,lastName,position,origin,destination,transferDate,eligibility,rating,stars
173,2025,Jadrian,Gibbs,S,Massachusetts,,2025-04-25 15:48:00+00:00,Immediate,,3.0
174,2025,Andy,Jean,WR,Pittsburgh,Arkansas,2025-04-27 19:37:00+00:00,Immediate,0.85,3.0
175,2025,Tayten,Beyer,CB,San Diego State,Cal Poly,2025-04-22 01:47:00+00:00,Immediate,,3.0
176,2025,Carlo,Thompson,S,UNC-Pembroke,Georgia Southern,2025-01-06 13:25:00+00:00,Immediate,,
177,2025,Trent,Ramsey,IOL,California,App State,2025-05-09 23:53:00+00:00,Immediate,0.81,3.0
178,2025,Delvon,Gulley,CB,Alabama A&M,UAB,2025-05-09 22:02:00+00:00,Immediate,0.86,3.0
179,2025,Bryce,Dopson,WR,Kennesaw State,,2025-02-01 17:35:00+00:00,Immediate,,3.0
180,2025,David,Stone,DL,Oklahoma,,2025-04-20 23:54:56+00:00,Withdrawn,0.95,4.0
181,2025,Fabian,Ross,CB,Hawai'i,,2025-04-23 20:51:00+00:00,Immediate,,4.0
182,2025,Kavir,Bains-Marquez,S,UC Davis,Pittsburgh,2025-01-05 17:27:00+00:00,Immediate,0.86,3.0
183,2025,Kyle,Long,IOL,Maryland,East Carolina,2024-12-23 19:44:00+00:00,Immediate,,3.0
184,2025,Tyler,Onyedim,DL,Iowa State,Texas A&M,2025-01-03 03:41:00+00:00,Immediate,0.9,4.0
185,2025,Michael,Snowden,S,Akron,,2025-04-16 16:39:00+00:00,Immediate,,
186,2025,Davion,Williams,S,Charleston Southern,Eastern Michigan,2024-12-29 15:12:00+00:00,Immediate,,
187,2025,Braedyn,Locke,QB,Wisconsin,Arizona,2024-12-27 15:06:00+00:00,Immediate,0.85,3.0
188,2025,Jakiah,Leftwich,OT,UCF,,2025-04-26 04:51:00+00:00,Immediate,0.86,3.0
189,2025,Santino,Marucci,QB,New Mexico State,,2025-04-01 21:54:00+00:00,Immediate,,3.0
190,2025,Marvin,Alexander,WR,Florida Atlantic,Duquesne,2025-07-27 23:04:00+00:00,Immediate,,3.0
191,2025,DJ,Mayes,WR,New Mexico,Utah State,2025-01-02 05:58:00+00:00,Immediate,0.8,3.0
192,2025,Khai,Prean,WR,Tulane,,2024-12-28 15:16:00+00:00,Immediate,,4.0
193,2025,Adonis,Friloux,DL,Tulane,Baylor,2025-04-29 03:02:00+00:00,Immediate,0.86,3.0
194,2025,Siolaa,Lolohea,DL,Utah State,Oklahoma,2025-04-23 16:00:00+00:00,Immediate,0.87,3.0
195,2025,Dru,McClough,IOL,Presbyterian,East Carolina,2025-04-25 23:39:00+00:00,Immediate,0.82,3.0
196,2025,Jordan,Fuller,RB,Holy Cross,James Madison,2025-05-02 21:00:00+00:00,Immediate,0.82,3.0
197,2025,Quincy,Jenkins,IOL,James Madison,Western Kentucky,2025-04-22 01:29:00+00:00,Immediate,0.8,3.0
198,2025,Chris,Stokes,DL,Marshall,Southern Miss,2025-05-06 11:56:00+00:00,Immediate,0.82,3.0
199,2025,Logan,Pili,LB,Utah State,Utah Tech,2025-07-28 00:42:00+00:00,Immediate,,3.0
200,2025,Leroy,Harris III,EDGE,Chattanooga,Kansas,2025-04-22 20:14:00+00:00,Immediate,0.85,3.0
201,2025,Peter,Simmons III,DL,Michigan,UAB,2025-05-19 20:06:00+00:00,Immediate,0.8,3.0
202,2025,Ja'Maric,Morris,CB,Georgia State,Virginia,2025-05-06 21:33:00+00:00,Immediate,0.86,3.0
203,2025,Shahid,Barros,CB,South Dakota,Iowa,2025-04-25 23:49:00+00:00,Immediate,0.85,3.0
204,2025,Jalyn,Durgan,EDGE,South Alabama,North Texas,2025-04-22 14:12:00+00:00,Immediate,0.82,3.0
205,2025,Leroy,Bowers,S,Southern,,2025-04-17 18:11:00+00:00,Immediate,,3.0
206,2025,Morrow,Evans,LS,Ohio State,UCLA,2025-04-19 21:27:00+00:00,Immediate,0.78,2.0
207,2025,Jayden,Dixon-Veal,WR,Purdue,California,2025-04-27 13:33:00+00:00,Immediate,0.84,3.0
208,2025,Eli,Coenen,DL,Bemidji State,Illinois,2025-05-01 21:08:00+00:00,Immediate,0.86,3.0
209,2025,Beau,Blankenship,TE,Ohio,Gardner-Webb,2025-05-11 11:23:00+00:00,Immediate,,
210,2025,Chris,Keys Jr.,S,Mississippi State,Florida Atlantic,2025-05-02 01:19:00+00:00,Immediate,0.82,3.0
211,2025,Caleb,McCreary,QB,Troy,Tennessee State,2025-04-26 12:03:00+00:00,Immediate,,3.0
212,2025,AJ,Guida,LB,Northern Illinois,Lindenwood,2025-04-22 00:10:00+00:00,Immediate,,3.0
213,2025,Rod,Green,IOL,Purdue,Charlotte,2025-04-30 00:02:00+00:00,Immediate,0.85,3.0
214,2025,Bear,Bachmeier,QB,Stanford,BYU,2025-04-21 21:20:00+00:00,Immediate,0.85,3.0
215,2025,Zach,Person,TE,Northern Michigan,Arkansas State,2025-05-21 14:59:00+00:00,Immediate,0.81,3.0
216,2025,Aidan,McCowan,CB,Arkansas,,2025-07-09 18:25:00+00:00,Immediate,,
217,2025,Jason,Collins Jr.,RB,Morgan State,,2025-05-26 05:06:18+00:00,Withdrawn,,
218,2025,A'Marion,Peterson,RB,USC,UTSA,2025-04-30 14:30:00+00:00,Immediate,0.85,3.0
219,2025,Daniel,Demery,LB,Ole Miss,Arkansas State,2025-04-25 18:36:00+00:00,Immediate,0.82,3.0
220,2025,Darrian,King,IOL,Samford,Mercer,2025-04-29 20:04:00+00:00,Immediate,0.82,3.0
221,2025,Arik,Gilbert,TE,Nebraska,Savannah St,2025-04-30 00:20:00+00:00,Immediate,0.85,3.0
222,2025,Nacari,Johnson,CB,UAB,Kennesaw State,2025-05-02 11:38:00+00:00,Immediate,0.82,3.0
223,2025,Alton,McCaskill,RB,Arizona State,Sam Houston,2025-04-26 21:36:00+00:00,Immediate,0.82,3.0
224,2025,Kortlin,Rausaw,EDGE,North Texas,Abilene Christian,2025-07-28 00:12:00+00:00,Immediate,,3.0
225,2025,Christian,LeBrun,S,Massachusetts,Illinois State,2025-05-12 19:00:00+00:00,Immediate,,3.0
226,2025,Zion,Jones,S,UTSA,Houston Christian,2025-04-26 02:32:00+00:00,Immediate,,3.0
227,2025,Kiandre,Terry,WR,Arkansas State,Hinds C.C.,2025-05-21 02:06:00+00:00,Immediate,,3.0
228,2025,Grant,Mills,LS,North Carolina,Ohio State,2025-04-24 20:09:00+00:00,Immediate,,
229,2025,Josh,Joyner,RB,Washington State,Missouri State,2025-05-07 14:09:00+00:00,Immediate,0.84,3.0
230,2025,Joey,Lightfoot,DL,UTEP,Nicholls,2025-04-24 21:36:00+00:00,Immediate,,
231,2025,Trishstin,Glass,WR,Wake Forest,Coastal Carolina,2025-05-11 18:42:00+00:00,Immediate,0.85,3.0
232,2025,Tyrone,Fowler Jr.,EDGE,Ferris State,,2025-05-13 20:23:00+00:00,Withdrawn,0.84,3.0
233,2025,Elhadj,Fall,DL,Georgia Southern,Virginia Tech,2025-04-27 21:14:00+00:00,Immediate,0.85,3.0
234,2025,Jay,Harper,CB,Wisconsin,UL Monroe,2025-04-23 18:30:00+00:00,Immediate,0.85,3.0
235,2025,Nasir,Smith,DL,Georgia Southern,Kennesaw State,2025-05-09 06:14:00+00:00,Immediate,0.82,3.0
