target_name,targets,EPA,EPA_per_target,success,success_rate,explosive,explosive_rate,explosive_epa_per_target,non_explosive_epa_per_target,catches,yards
Brenen Thompson,43,-8.224,-0.1913,17,0.3953,10,0.2326,2.3037,-0.9473,19,230
Thomas Gordon,43,6.685,0.1555,19,0.4419,11,0.2558,2.1312,-0.5237,27,252
Rodney Gallagher III,42,4.235,0.1008,22,0.5238,15,0.3571,1.88,-0.8876,29,299
Keelan Marion,42,6.21,0.1479,23,0.5476,17,0.4048,1.6886,-0.8998,24,346
Titus Mokiao-Atimalala,42,25.981,0.6186,26,0.619,16,0.381,1.9922,-0.2267,28,294
Miles Cross,42,26.366,0.6278,26,0.619,21,0.5,2.1125,-0.857,28,335
Quali Conley,42,4.378,0.1042,20,0.4762,10,0.2381,1.3584,-0.2877,39,245
Kyle Ford,41,20.958,0.5112,24,0.5854,15,0.3659,2.4905,-0.6307,26,316
Xavier Guillory,41,21.66,0.5283,22,0.5366,16,0.3902,2.3601,-0.6441,23,342
Dae'Quan Wright,41,24.683,0.602,27,0.6585,18,0.439,1.9607,-0.4613,27,394
Zavion Thomas,41,-3.504,-0.0855,19,0.4634,11,0.2683,1.8625,-0.7997,23,218
Mario Craver,41,11.236,0.274,16,0.3902,14,0.3415,2.5221,-0.8916,20,490
Omari Evans,41,14.689,0.3583,18,0.439,12,0.2927,2.9947,-0.7327,22,460
Jameson Geers,41,11.461,0.2795,21,0.5122,14,0.3415,1.9468,-0.585,28,290
Emmett Johnson,41,9.051,0.2208,17,0.4146,13,0.3171,2.0702,-0.6379,39,287
Luke Lachey,41,-10.089,-0.2461,21,0.5122,9,0.2195,1.9492,-0.8635,28,231
Chris Tyree,41,-8.038,-0.196,12,0.2927,6,0.1463,2.2158,-0.6095,27,155
Dre'lon Miller,40,3.944,0.0986,20,0.5,11,0.275,2.1538,-0.681,32,277
Money Parks,40,0.737,0.0184,15,0.375,11,0.275,2.6806,-0.9914,21,294
Lawson Luckie,40,10.261,0.2565,22,0.55,16,0.4,2.1393,-0.9987,25,351
Ollie Gordon II,40,8.607,0.2152,19,0.475,11,0.275,2.2491,-0.5563,31,197
Lawrance Toafili,40,-19.278,-0.482,13,0.325,8,0.2,2.1116,-1.1303,27,228
Donavon Greene,40,19.44,0.486,24,0.6,16,0.4,2.0026,-0.5251,23,359
Melquan Stovall,39,2.549,0.0654,17,0.4359,9,0.2308,2.3209,-0.6113,25,310
Tyler Morris,39,9.305,0.2386,20,0.5128,12,0.3077,2.1797,-0.6241,23,248
Logan Loya,39,38.917,0.9979,26,0.6667,23,0.5897,2.2493,-0.8011,29,348
Kris Mitchell,39,2.947,0.0756,20,0.5128,11,0.2821,1.8845,-0.6351,23,230
Mazeo Bennett Jr.,39,21.736,0.5573,21,0.5385,13,0.3333,2.7968,-0.5624,29,329
Josh Williams,39,-7.617,-0.1953,18,0.4615,9,0.2308,1.7711,-0.7852,31,263
Jordan Mosley,39,17.676,0.4532,21,0.5385,17,0.4359,2.2842,-0.9616,23,405
Isaac Brown,38,-8.747,-0.2302,9,0.2368,5,0.1316,1.6138,-0.5096,30,152
Semaj Morgan,38,-9.382,-0.2469,12,0.3158,9,0.2368,2.3603,-1.056,28,144
Marquis Johnson,38,20.929,0.5508,24,0.6316,15,0.3947,1.8229,-0.2789,26,358
Brett Norfleet,38,-4.221,-0.1111,16,0.4211,8,0.2105,1.739,-0.6044,26,235
Dont'e Thornton Jr.,38,45.558,1.1989,25,0.6579,17,0.4474,3.2264,-0.4424,29,750
Isaac TeSlaa,38,39.889,1.0497,27,0.7105,19,0.5,2.6597,-0.5603,28,532
Jamal Haynes,38,7.847,0.2065,19,0.5,10,0.2632,1.9834,-0.4281,28,166
Umari Hatcher,38,7.099,0.1868,16,0.4211,11,0.2895,2.4714,-0.7439,19,345
Wesley Grimes,37,12.841,0.3471,22,0.5946,14,0.3784,1.6751,-0.4613,26,342
Bryson Green,37,6.256,0.1691,20,0.5405,13,0.3514,1.857,-0.7452,20,239
Moochie Dixon,37,26.299,0.7108,20,0.5405,15,0.4054,2.5687,-0.556,22,396
Caden Prieskorn,37,27.105,0.7326,23,0.6216,20,0.5405,2.2751,-1.0822,27,401
Matthew Hibner,37,6.466,0.1748,19,0.5135,13,0.3514,2.5519,-1.1129,24,368
Tre Watson,37,3.326,0.0899,19,0.5135,12,0.3243,1.7323,-0.6985,22,288
Chase Lane,37,18.874,0.5101,22,0.5946,17,0.4595,2.0116,-0.7661,23,261
Ismael Cisse,37,5.409,0.1462,21,0.5676,15,0.4054,1.6327,-0.8673,26,241
Garrett Oakley,36,21.086,0.5857,21,0.5833,17,0.4722,1.9791,-0.6609,23,239
Kamari Morales,36,8.145,0.2262,21,0.5833,12,0.3333,2.5462,-0.9338,29,325
Gabe Burkle,36,13.648,0.3791,19,0.5278,11,0.3056,1.9615,-0.3171,26,257
Cyrus Allen,36,16.65,0.4625,17,0.4722,14,0.3889,2.3008,-0.7073,18,269
Nate McCollum,36,-0.463,-0.0129,17,0.4722,10,0.2778,2.0467,-0.805,25,275
Troy Stellato,35,8.951,0.2557,18,0.5143,14,0.4,1.8122,-0.7819,25,264
Lake McRee,35,6.552,0.1872,17,0.4857,12,0.3429,1.951,-0.733,24,238
Jacoby Jones,35,34.553,0.9872,21,0.6,18,0.5143,2.5337,-0.6502,22,327
Mark Redman,35,11.854,0.3387,20,0.5714,13,0.3714,2.0659,-0.682,24,256
Reece Vander Zee,35,-3.922,-0.1121,15,0.4286,11,0.3143,2.2143,-1.1783,14,176
Ayden Greene,34,-13.002,-0.3824,13,0.3824,9,0.2647,2.536,-1.433,19,268
Jordan James,34,2.862,0.0842,13,0.3824,7,0.2059,1.7726,-0.3536,27,224
CJ Williams,34,6.61,0.1944,14,0.4118,12,0.3529,2.2573,-0.9308,16,248
Gage Larvadain,34,7.608,0.2238,18,0.5294,11,0.3235,2.1993,-0.721,20,226
DJ Giddens,34,-4.3,-0.1265,11,0.3235,9,0.2647,2.9954,-1.2504,21,258
Trevor Etienne,34,8.884,0.2613,20,0.5882,7,0.2059,1.5777,-0.08,33,199
Jacob Jordan,34,12.312,0.3621,21,0.6176,10,0.2941,2.0564,-0.3438,27,234
Tahj Brooks,34,4.065,0.1196,15,0.4412,7,0.2059,2.2481,-0.4323,28,199
Dylan Edwards,33,-8.645,-0.262,10,0.303,5,0.1515,1.705,-0.6132,19,133
Jeremiyah Love,33,5.07,0.1536,16,0.4848,9,0.2727,1.6876,-0.4216,29,218
Avery Boyd,33,15.061,0.4564,17,0.5152,16,0.4848,1.8326,-0.8389,25,316
Joseph Manjack IV,33,14.785,0.448,16,0.4848,13,0.3939,2.4436,-0.8491,22,351
Jake Bailey,33,6.263,0.1898,13,0.3939,10,0.303,2.3992,-0.7708,21,290
RJ Maryland,33,23.175,0.7023,16,0.4848,13,0.3939,2.7394,-0.6218,25,358
Jared Brown,32,3.36,0.105,11,0.3438,9,0.2813,2.771,-0.9382,15,244
Justius Lowe,32,-3.418,-0.1068,16,0.5,10,0.3125,1.3672,-0.7768,22,206
Censere Lee,32,11.816,0.3692,17,0.5313,8,0.25,2.5435,-0.3555,20,263
Dacari Collins,32,30.195,0.9436,24,0.75,16,0.5,2.1119,-0.2248,24,314
TreVeyon Henderson,32,4.796,0.1499,15,0.4688,8,0.25,2.5168,-0.6391,28,308
Luke Hasz,32,26.864,0.8395,21,0.6563,13,0.4063,2.3909,-0.222,27,327
Chris Long,32,-7.754,-0.2423,12,0.375,6,0.1875,2.5687,-0.891,12,171
Caullin Lacy,32,6.797,0.2124,13,0.4063,10,0.3125,2.5094,-0.8317,18,196
Drake Dabney,32,1.027,0.0321,16,0.5,7,0.2188,1.9077,-0.4931,19,193
Jaedn Skeete,32,3.951,0.1235,14,0.4375,12,0.375,2.347,-1.2106,18,189
Micah Mays Jr.,32,1.451,0.0453,14,0.4375,8,0.25,2.448,-0.7555,17,218
Gee Scott Jr.,31,12.33,0.3977,16,0.5161,10,0.3226,2.0731,-0.4,27,253
Caden Durham,31,3.57,0.1152,11,0.3548,7,0.2258,2.702,-0.6393,27,261
Hank Beatty,31,17.584,0.5672,16,0.5161,15,0.4839,2.5591,-1.3001,22,331
Miles Kitselman,31,23.074,0.7443,20,0.6452,15,0.4839,2.0117,-0.4438,26,377
CJ Dippre,31,6.797,0.2193,17,0.5484,8,0.2581,1.8521,-0.3487,22,273
Devin Neal,31,5.654,0.1824,15,0.4839,6,0.1935,2.1215,-0.283,26,266
Oscar Delp,31,21.977,0.7089,18,0.5806,15,0.4839,2.0771,-0.5737,21,248
Keyan Burnett,31,4.04,0.1303,16,0.5161,9,0.2903,2.1897,-0.7121,18,217
Mookie Cooper,31,3.862,0.1246,11,0.3548,7,0.2258,3.3299,-0.8103,13,255
Cash Jones,31,11.152,0.3597,16,0.5161,12,0.3871,2.0272,-0.6934,26,289
Jaydn Ott,31,-0.143,-0.0046,12,0.3871,9,0.2903,2.0578,-0.8483,25,225
Ali Jennings III,31,27.132,0.8752,17,0.5484,13,0.4194,2.9998,-0.6592,15,373
Talyn Shettron,31,2.592,0.0836,13,0.4194,10,0.3226,2.4747,-1.055,12,245
RJ Harvey,31,7.367,0.2376,14,0.4516,8,0.2581,3.2153,-0.798,22,272
Noah Whittington,30,-6.146,-0.2049,13,0.4333,2,0.0667,2.028,-0.3644,24,136
Adam Randall,30,-0.138,-0.0046,13,0.4333,9,0.3,1.4362,-0.6221,16,155
Preston Howard,30,2.004,0.0668,16,0.5333,10,0.3333,1.6812,-0.7404,24,188
London Humphreys,30,5.499,0.1833,13,0.4333,9,0.3,2.4679,-0.7958,16,259
